Descs,Removed,Model,R2,RMSE,% within 1,% within 0.5
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos']","['MW', 'Het_charges']",ET,0.724952593,0.567205163,89.36170213,78.72340426
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Het_charges']","['MW', 'Most_pos']",ET,0.733684021,0.556524235,89.36170213,77.65957447
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_pos', 'Het_charges']","['MW', 'Most_neg']",ET,0.73568939,0.556202608,89.36170213,77.65957447
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'C_charges']",ET,0.739098907,0.551596219,90.42553191,78.72340426
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'O_charges']",ET,0.744349819,0.550775181,90.42553191,79.78723404
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'SASA']",ET,0.735282621,0.554983364,90.42553191,77.65957447
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'LsolvHsolu']",ET,0.735303568,0.555625925,88.29787234,78.72340426
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'LsoluHsolv']",ET,0.73046988,0.561274207,89.36170213,78.72340426
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'solv_dip']",ET,0.73611581,0.556272482,88.29787234,76.59574468
"['MP', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'DeltaG_sol']",ET,0.731218791,0.557518179,89.36170213,73.40425532
"['MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'G_solv']",ET,0.742090572,0.549381371,88.29787234,79.78723404
